wmo,cycle,lat,lon,rel_delta
3902341,11,15.113,158.185,0.4874129863407382
3902341,12,15.38,157.591,0.38284040687405074
3902341,13,15.632,156.812,0.6762679179611237
3902341,16,16.173,154.62599999999998,0.5056666437347098
3902341,17,16.109,154.065,0.602336092930071
3902342,1,21.258,-173.378,0.5582494898180339
3902342,86,22.349,-177.616,0.8157971264961671
3902342,87,22.377,-177.626,0.7881389031654756
3902342,89,22.363,-177.649,0.412768042493583
3902342,90,22.352,-177.646,0.45477320543669053
3902342,91,22.356,-177.663,0.2863202635747492
3902342,92,22.358,-177.661,0.34763767281014696
3902342,93,22.356,-177.675,0.49161289571261146
3902342,95,22.366,-177.693,0.01611057104624154
3902342,96,22.371,-177.687,0.7820389815368984
3902342,97,22.362,-177.707,0.40797145735559665
3902342,98,22.369,-177.709,0.06451303018179186
3902342,99,22.364,-177.719,0.5643617418224425
3902342,100,22.363,-177.73,0.4549282453854357
3902342,101,22.361,-177.728,0.609185166959302
3902342,102,22.364,-177.751,0.5059433062745161
3902342,103,22.362,-177.739,0.4008543016837102
3902342,104,22.369,-177.752,0.3459841262685936
3902342,105,22.364,-177.728,0.6772142800802531
3902342,106,22.366,-177.726,0.6668272209465321
3902342,107,22.357,-177.713,0.6848499683452106
3902342,108,22.354,-177.701,0.44820426739630337
3902342,109,22.35,-177.69,0.43885730979388765
3902342,110,22.35,-177.668,0.5508419811950966
3902342,111,22.347,-177.648,0.8192412752702293
3902342,112,22.346,-177.614,0.8059798206894734
3902342,113,22.349,-177.62,0.8364528844943416
3902342,114,22.363,-177.615,0.8372976211076908
3902342,120,22.412,-177.636,0.8725422409034364
3902342,121,22.433,-177.642,0.8736674272294794
3902342,122,22.444,-177.643,0.7231965609465123
3902342,123,22.451,-177.655,-2.5889993871714547
3902342,124,22.449,-177.663,0.31115336122646753
3902342,125,22.441,-177.674,0.3530550243458114
3902342,126,22.434,-177.676,0.5098641421795291
3902342,127,22.433,-177.665,0.3864151343663357
3902342,128,22.43,-177.66,0.6775801867515082
3902342,129,22.438,-177.65,0.6181859785170822
3902342,130,22.439,-177.639,0.7100866065380709
3902342,131,22.446,-177.641,0.6205069377004221
3902342,132,22.457,-177.644,0.6403888960487144
3902342,133,22.461,-177.654,0.7539053011416615
3902342,134,22.466,-177.662,0.7684440341227962
3902342,135,22.462,-177.658,0.7584821097208828
3902342,136,22.46,-177.655,0.7659610372349489
3902342,137,22.463,-177.65,0.7721390647384166
3902342,138,22.462,-177.64,0.7741608027058107
3902342,139,22.469,-177.64,0.7733581622887532
3902344,12,20.956,178.01999999999998,-0.11978439681829153
3902344,18,20.356,178.92899999999997,0.6675197576429488
3902345,2,14.24,149.053,0.5493395830653044
3902345,4,14.185,150.74099999999999,0.6590268484589974
3902345,6,13.262,151.40800000000002,0.5400459330713845
3902345,9,14.12,151.849,0.3073248930329514
3902345,10,14.218,152.459,0.15766268229045097
3902345,12,14.021,153.529,0.38621177886991787
3902348,3,25.025,-67.60899999999998,0.38461572260766574
3902348,6,26.318,-68.77300000000002,0.5517540829433846
3902348,11,26.539,-66.29399999999998,0.42297252290297155
3902348,12,26.36,-66.23700000000002,0.7980716646390252
3902556,33,-14.718,-79.79199999999997,0.7569570713245347
3902556,45,-13.864,-81.22199999999998,0.5359327849700743
