wmo,profile,file,bbp700_top20m_median,n_values_used
1902453,36,1902453QC.nc,0.00059,10
1902453,62,1902453QC.nc,0.0005765,10
1902453,71,1902453QC.nc,0.0005535,10
1902453,69,1902453QC.nc,0.0006395000000000001,10
1902453,64,1902453QC.nc,0.0005250000000000001,10
1902454,50,1902454QC.nc,0.0011064999999999998,10
1902454,53,1902454QC.nc,0.0007185,10
1902454,52,1902454QC.nc,0.0008225,10
1902454,47,1902454QC.nc,0.001001,10
1902454,56,1902454QC.nc,0.0013809999999999998,10
1902454,51,1902454QC.nc,0.0008875,10
1902454,55,1902454QC.nc,0.0013705,10
1902455,69,1902455QC.nc,0.0006005,10
1902455,52,1902455QC.nc,0.0006145,10
1902455,70,1902455QC.nc,0.0005825,10
1902455,65,1902455QC.nc,0.0005535,10
1902456,41,1902456QC.nc,0.0006605000000000001,10
1902456,59,1902456QC.nc,0.0007335,10
1902456,68,1902456QC.nc,0.0005355,10
1902456,36,1902456QC.nc,0.000606,10
1902456,45,1902456QC.nc,0.000771,11
1902456,54,1902456QC.nc,0.000514,10
1902456,40,1902456QC.nc,0.000692,10
1902456,44,1902456QC.nc,0.0007075,10
1902456,72,1902456QC.nc,0.0005405,10
1902456,58,1902456QC.nc,0.0004994999999999999,10
1902456,71,1902456QC.nc,0.000526,10
1902456,66,1902456QC.nc,0.0005405,10
1902456,43,1902456QC.nc,0.0006895,10
1902456,38,1902456QC.nc,0.0005925,10
1902456,47,1902456QC.nc,0.0008115,10
1902456,33,1902456QC.nc,0.0005835,10
1902456,42,1902456QC.nc,0.000622,10
1902456,51,1902456QC.nc,0.000501,10
1902456,73,1902456QC.nc,0.000534,10
1902457,66,1902457QC.nc,0.0006455,10
1902457,52,1902457QC.nc,0.0005475,10
1902457,65,1902457QC.nc,0.000607,10
1902457,51,1902457QC.nc,0.0005025,10
1902457,31,1902457QC.nc,0.0006945,10
1902457,68,1902457QC.nc,0.000477,9
1902457,67,1902457QC.nc,0.0005555,10
1902457,57,1902457QC.nc,0.000937,10
1902458,66,1902458QC.nc,0.000742,10
1902458,65,1902458QC.nc,0.0006889999999999999,10
1902458,60,1902458QC.nc,0.0006590000000000001,10
1902458,50,1902458QC.nc,0.000589,10
1902458,64,1902458QC.nc,0.0006535,10
1902458,63,1902458QC.nc,0.000957,10
1902458,67,1902458QC.nc,0.000741,10
1902490,26,1902490QC.nc,0.000611,10
1902490,44,1902490QC.nc,0.0004665,10
1902490,6,1902490QC.nc,0.00049,10
1902490,47,1902490QC.nc,0.000407,10
1902490,33,1902490QC.nc,0.0004875,10
1902490,8,1902490QC.nc,0.000531,10
1902492,31,1902492QC.nc,0.00092,10
1902493,7,1902493QC.nc,0.0005255,10
1902493,39,1902493QC.nc,0.00047900000000000004,10
1902493,33,1902493QC.nc,0.0004685,10
1902493,28,1902493QC.nc,0.0005265000000000001,10
1902493,36,1902493QC.nc,0.000429,10
1902493,45,1902493QC.nc,0.0005025,10
1902493,31,1902493QC.nc,0.000559,10
1902493,8,1902493QC.nc,0.000523,10
1902495,21,1902495QC.nc,0.0007475,10
1902495,15,1902495QC.nc,0.0007525,10
1902495,33,1902495QC.nc,0.0005905,10
1902495,37,1902495QC.nc,0.000592,10
1902495,41,1902495QC.nc,0.0005009999999999999,10
1902496,34,1902496QC.nc,0.0005585,10
1902496,11,1902496QC.nc,0.000566,10
1902496,46,1902496QC.nc,0.000676,10
1902496,36,1902496QC.nc,0.00045,10
